term_id,name,slug,description,display_type,parent,parent_slug,thumbnail
118,"ICE SYSTEM",ice-system,"Kategori ice system bekas untuk kebutuhan restoran, cafe, bakery, dan usaha minuman. Tersedia berbagai perlengkapan pembuat dan penyimpanan es siap pakai dengan harga lebih hemat untuk kebutuhan dapur komersial.",subcategories,0,,https://origin.bukanbarukitchen.com/wp-content/uploads/2026/05/BB2015_1.webp
121,"ICE SYSTEM LAINNYA",lainnya-ice-system,"Kategori ice system lainnya berisi berbagai perlengkapan pembuat dan penyimpanan es untuk restoran, cafe, bakery, dan usaha minuman. Cocok untuk kebutuhan dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",products,118,ice-system,
122,KOMPOR,kompor,"Kategori kompor bekas untuk kebutuhan dapur restoran, cafe, bakery, dan usaha kuliner. Tersedia berbagai jenis kompor siap pakai dengan harga lebih hemat untuk mendukung operasional dapur komersial.",subcategories,0,,https://origin.bukanbarukitchen.com/wp-content/uploads/2026/04/3.webp
123,"KOMPOR 1 TUNGKU",kompor-1-tungku,"Kategori kompor 1 tungku bekas untuk kebutuhan dapur restoran, cafe, dan usaha kuliner. Cocok digunakan untuk operasional dapur komersial dengan desain praktis, kondisi siap pakai, dan harga lebih hemat.",products,122,kompor,
124,"KOMPOR 2 TUNGKU",kompor-2-tungku,"Kategori kompor 2 tungku bekas untuk kebutuhan dapur restoran, cafe, dan usaha kuliner. Cocok untuk meningkatkan efisiensi memasak di dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",products,122,kompor,
125,"KOMPOR 3 TUNGKU",kompor-3-tungku,"Kategori kompor 3 tungku bekas untuk kebutuhan dapur restoran, cafe, dan usaha kuliner. Cocok untuk operasional memasak skala komersial dengan kapasitas lebih besar, kondisi siap pakai, dan harga lebih hemat.",products,122,kompor,
126,"KOMPOR 4 TUNGKU",kompor-4-tungku,"Kategori kompor 4 tungku bekas untuk kebutuhan dapur restoran, catering, dan usaha kuliner skala besar. Cocok untuk operasional memasak intensif dengan kondisi siap pakai dan harga lebih hemat.",products,122,kompor,
127,"KOMPOR 6 TUNGKU",kompor-6-tungku,"Kategori kompor 6 tungku bekas untuk kebutuhan dapur restoran, catering, dan usaha kuliner skala besar. Cocok untuk operasional memasak intensif dengan kapasitas tinggi, kondisi siap pakai, dan harga lebih hemat.",default,122,kompor,
128,"KOMPOR BATU LAVA",kompor-batu-lava,"Kategori kompor batu lava bekas untuk kebutuhan restoran, cafe, steak house, dan usaha kuliner. Cocok digunakan untuk proses grilling dengan hasil masakan lebih merata, kondisi siap pakai, dan harga lebih hemat.",products,122,kompor,
133,"KOMPOR GRILL TEPANYAKI",kompor-grill-tepanyaki,"Kategori kompor grill tepanyaki bekas untuk kebutuhan restoran, cafe, steak house, dan usaha kuliner. Cocok digunakan untuk proses grilling dan live cooking dengan kondisi siap pakai serta harga lebih hemat.",products,122,kompor,
136,"KOMPOR LAINNYA",lainnya-kompor,"Kategori kompor lainnya berisi berbagai perlengkapan memasak untuk restoran, cafe, bakery, dan usaha kuliner. Cocok untuk kebutuhan dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",products,122,kompor,
131,"KOMPOR WOK KWALI RANGE",kompor-wok-kwali-range,"Kategori Kompor wok kwali range bekas untuk kebutuhan restoran, rumah makan, dan usaha kuliner. Cocok digunakan untuk proses memasak dengan wok pada dapur komersial, kondisi siap pakai, dan harga lebih hemat.",products,122,kompor,
139,"MEJA 1 SUSUN STAINLESS",meja-1-susun-stainless,"Kategori meja 1 susun stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan sebagai area persiapan makanan pada dapur komersial dengan desain praktis, kondisi siap pakai, dan harga lebih hemat.",products,137,meja-stainless,
138,"MEJA 2 SUSUN STAINLESS",meja-2-susun-stainless,"Kategori meja 2 susun bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk area persiapan dan penyimpanan perlengkapan dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",products,137,meja-stainless,
140,"MEJA 3 SUSUN STAINLESS",meja-3-susun-stainless,"Kategori meja 3 susun stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk area persiapan dan penyimpanan perlengkapan dapur komersial dengan kapasitas lebih besar, kondisi siap pakai, dan harga lebih hemat.",products,137,meja-stainless,
141,"MEJA BUMBU STAINLESS",meja-bumbu-stainless,"Kategori meja bumbu Stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk area penyimpanan dan persiapan bumbu dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",products,137,meja-stainless,
142,"MEJA KABINET STAINLESS",meja-kabinet-stainless,"Kategori meja kabinet stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk area kerja sekaligus penyimpanan perlengkapan dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",products,137,meja-stainless,
143,"MEJA KOMPOR STAINLESS",meja-kompor-stainless,"Kategori meja kompor stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan sebagai penopang area memasak pada dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",products,137,meja-stainless,
137,"MEJA STAINLESS",meja-stainless,"Kategori meja stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan sebagai area persiapan makanan dan operasional dapur komersial dengan kondisi siap pakai serta harga lebih hemat.",subcategories,0,,https://origin.bukanbarukitchen.com/wp-content/uploads/2025/11/Meja.webp
144,"MEJA STAINLESS LAINNYA",lainnya-meja-stainless,"Kategori meja stainless lainnya berisi berbagai perlengkapan meja dapur untuk restoran, cafe, bakery, dan usaha kuliner. Cocok untuk kebutuhan dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",products,137,meja-stainless,
134,"NOODLE BOILER",noodle-boiler,"Kategori noodle boiler bekas untuk kebutuhan restoran mie, cafe, dan usaha kuliner. Cocok digunakan untuk proses perebusan mie dengan cepat dan efisien pada dapur komersial, kondisi siap pakai, dan harga lebih hemat.",products,122,kompor,
135,OVEN,oven,"Kategori oven bekas untuk kebutuhan bakery, cafe, restoran, dan usaha kuliner. Tersedia berbagai pilihan oven siap pakai untuk proses baking dan roasting dengan harga lebih hemat.",products,122,kompor,
35,"PERALATAN DAPUR BEKAS LAINNYA",peralatan-dapur-bekas-lainnya,"Kategori Peralatan Dapur Bekas lainnya berisi berbagai alat dapur restoran bekas untuk cafe, bakery, dan usaha kuliner. Cocok untuk kebutuhan dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",products,0,,https://origin.bukanbarukitchen.com/wp-content/uploads/2026/04/7.webp
146,"RAK 1 SUSUN STAINLESS",rak-1-susun-stainless,"Kategori rak 1 susun stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk penyimpanan perlengkapan dapur komersial dengan desain praktis, kondisi siap pakai, dan harga lebih hemat.",default,145,rak-stainless,
147,"RAK 2 SUSUN STAINLESS",rak-2-susun-stainless,"Kategori rak 2 susun bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk penyimpanan perlengkapan dapur komersial dengan kapasitas lebih besar, kondisi siap pakai, dan harga lebih hemat.",products,145,rak-stainless,
148,"RAK 3 SUSUN STAINLESS",rak-3-susun-stainless,"Kategori rak 3 stainless susun bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk penyimpanan perlengkapan dapur komersial dengan kapasitas lebih besar, kondisi siap pakai, dan harga lebih hemat.",products,145,rak-stainless,
149,"RAK 4 SUSUN STAINLESS",rak-4-susun-stainless,"Kategori rak 4 susun stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk penyimpanan perlengkapan dapur komersial dengan kapasitas lebih banyak, kondisi siap pakai, dan harga lebih hemat.",products,145,rak-stainless,
150,"RAK 5 SUSUN STAINLESS",rak-5-susun-stainless,"Kategori rak 5 susun stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk penyimpanan perlengkapan dapur komersial dengan kapasitas lebih besar, kondisi siap pakai, dan harga lebih hemat.",products,145,rak-stainless,
145,"RAK STAINLESS",rak-stainless,"Kategori rak stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk penyimpanan perlengkapan dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",subcategories,0,,https://origin.bukanbarukitchen.com/wp-content/uploads/2026/04/2.webp
152,"RAK STAINLESS LAINNYA",lainnya-rak-stainless,"Kategori rak stainless lainnya berisi berbagai perlengkapan rak dapur untuk restoran, cafe, bakery, dan usaha kuliner. Cocok untuk kebutuhan penyimpanan dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",products,145,rak-stainless,
153,SHOWCASE,showcase,"Kategori showcase bekas untuk kebutuhan cafe, bakery, restoran, dan usaha kuliner. Cocok digunakan untuk display makanan dan minuman dengan tampilan menarik, kondisi siap pakai, dan harga lebih hemat.",subcategories,0,,https://origin.bukanbarukitchen.com/wp-content/uploads/2025/06/Showcase-Sanken-270L-2.webp
154,"SHOWCASE 1 PINTU",showcase-1-pintu,"Kategori showcase 1 pintu bekas untuk kebutuhan cafe, bakery, restoran, dan usaha kuliner. Cocok digunakan untuk display makanan dan minuman dengan desain praktis, kondisi siap pakai, dan harga lebih hemat.",products,153,showcase,
155,"SHOWCASE 2 PINTU",showcase-2-pintu,"Kategori showcase 2 pintu bekas untuk kebutuhan cafe, bakery, restoran, dan usaha kuliner. Cocok digunakan untuk display makanan dan minuman dengan kapasitas lebih besar, kondisi siap pakai, dan harga lebih hemat.",products,153,showcase,
157,"SHOWCASE LAINNYA",lainnya-showcase,"Kategori showcase bekas lainnya berisi berbagai perlengkapan display makanan dan minuman untuk cafe, bakery, restoran, dan usaha kuliner. Cocok untuk kebutuhan usaha komersial dengan kondisi siap pakai dan harga lebih hemat.",products,153,showcase,
159,"SINGLE SINK STAINLESS",single-sink-stainless,"Kategori single sink stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk area pencucian dapur komersial dengan desain praktis, kondisi siap pakai, dan harga lebih hemat.",products,158,sink-stainless,
162,"SINK JUMBO STAINLESS",sink-jumbo-stainless,"Kategori sink jumbo stainless bekas untuk kebutuhan restoran, catering, bakery, dan usaha kuliner. Cocok digunakan untuk area pencucian peralatan dapur berukuran besar dengan kondisi siap pakai dan harga lebih hemat.",products,158,sink-stainless,
158,"SINK STAINLESS",sink-stainless,"Kategori sink stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk area pencucian dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",subcategories,0,,
163,"SINK STAINLESS LAINNYA",lainnya-sink,"Kategori sink stainless bekas lainnya berisi berbagai perlengkapan area pencucian untuk restoran, cafe, bakery, dan usaha kuliner. Cocok untuk kebutuhan dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",products,158,sink-stainless,
161,"TRIPLE SINK STAINLESS",triple-sink-stainless,"Kategori triple sink stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk area pencucian dapur komersial dengan tiga bak sink, kondisi siap pakai, dan harga lebih hemat.",products,158,sink-stainless,
107,"UNDERCOUNTER CHILLER",undercounter-chiller,"Undercounter chiller bekas restoran cocok digunakan untuk cafe, bar, bakery, dan usaha kuliner dengan ruang terbatas. Tersedia berbagai ukuran dan kapasitas pendingin kondisi siap pakai dengan harga lebih ekonomis.",products,105,chiller,
106,"UPRIGHT CHILLER",upright-chiller,"Upright chiller bekas restoran cocok digunakan untuk cafe, bakery, minimarket, dan usaha kuliner. Tersedia berbagai ukuran dan kapasitas pendingin dengan kondisi siap pakai dan harga lebih ekonomis.",products,105,chiller,
112,"UPRIGHT FREEZER",upright-freezer,"Upright freezer bekas restoran cocok digunakan untuk cafe, bakery, frozen food, minimarket, dan usaha kuliner. Tersedia berbagai kapasitas freezer berdiri dengan kondisi siap pakai dan harga lebih ekonomis.",products,109,freezer,
151,WALLSHELF,wallshelf,"Kategori wallshelf stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan sebagai rak dinding penyimpanan perlengkapan dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",products,145,rak-stainless,
